,data
0,1123412.6649927136
1,1458539.7474747475
2,1408210.9645909646
3,1756572.294372294
4,1228263.6363636362
5,1277568.4672549672
6,1149935.8405483407
7,761907.5366642757
8,1213711.3243978242
9,1377546.1111111112
10,1503370.1638712164
11,779741.5840980595
12,2426127.777777778
13,581150.2015464047
14,907704.8323446823
15,1056592.394164251
16,1323134.8611111112
17,1022316.6529304028
18,1163454.4821866495
19,408017.53409959516
20,1123412.6649927136
21,1166730.9451659452
22,1192219.1166056166
23,1103455.4319479805
24,788952.2685725187
25,667133.2278943971
26,667133.2278943971
27,722699.3466521032
28,707583.6707137844
29,701370.8946534075
30,490363.23152821686
31,1028223.1055080884
32,479291.7185593724
33,485682.1790856882
34,485682.1790856882
35,859898.9754938217
36,649892.5360143591
37,694963.2290187326
38,711926.9104493826
39,848439.7579653183
40,515671.83532601444
41,753735.5455759296
42,826004.6328119658
43,797110.1581862482
44,644853.3162208481
45,646327.4704805675
46,742728.4870845297
47,735778.8372294661
48,1052920.6003976609
49,1140633.7786983997
50,2147456.3475997685
51,1410847.477025898
52,1214521.5564761772
53,2239011.666666667
54,1499742.003968254
55,1362573.6975343495
56,1641279.9603174604
57,1873583.3547008547
58,1420998.3193277312
59,1083672.6434326991
60,1186142.0878771436
61,2050493.2523616734
62,1938459.461152882
63,2221512.6262626266
64,1546541.9047619049
65,1949881.043956044
66,424936.2297343834
67,2385127.6262626266
68,2289989.444444445
69,1051178.685019677
70,1642721.9886254095
71,751731.9565136661
72,2282331.8808384603
73,1994126.3888888888
74,3516500.0
75,602031.8102643269
76,741390.5741403191
77,1714403.766233766
78,1797236.6666666667
79,993945.518939019
80,571441.8709991899
81,571408.3689012879
82,1919655.2600000002
83,1994126.3888888888
84,799963.8329725831
85,1921408.214285714
86,624961.8653033917
87,957410.5639499389
88,2309060.7142857146
89,832363.8329725831
90,829430.7623650295
91,558439.6430811695
92,908368.5278202189
93,569062.8685181797
94,569062.8685181797
95,467983.5105889406
96,1074507.8002617536
97,748409.699138937
98,569062.8685181797
99,857410.8633751305
100,636557.732616725
101,854622.3099840771
102,748409.699138937
103,962098.764049764
104,748409.699138937
105,587134.8811764076
106,1820010.8201058204
107,780663.867111304
108,494399.24821332825
109,785235.346187783
110,685443.4830287017
111,809325.1201688611
112,820991.184737419
113,879516.4259378966
114,685443.4830287017
115,830466.8990231333
116,862872.7598817305
117,783222.9109842812
118,814502.6133088476
119,826806.3971171802
120,897533.9472526815
121,896246.7289681997
122,587134.8811764076
123,573393.4827253363
124,1153445.735930736
125,1284651.443001443
126,1810953.6507936507
127,1890764.368686869
128,1321130.735930736
129,1709492.142857143
130,1709695.6043956045
131,1477441.3553113553
132,379264.6621324768
133,572455.1773288622
134,1364179.6859903382
135,2617203.333333333
136,1994350.6882591092
137,1795502.9670329667
138,4523133.333333334
139,379264.6621324768
140,1632216.8106893108
141,572455.1773288622
142,565228.9273045313
143,1595728.9917100444
144,574890.268496201
145,565228.9273045313
146,1209185.581232493
147,555894.9945132034
148,2675725.7575757573
149,3878170.158730158
150,1047006.917771992
151,1894107.738095238
152,1017139.9942351555
153,408017.53409959516
154,1258138.9800990478
155,443853.95587435924
156,1291732.9351285968
157,746325.7378744934
158,2043978.3492822968
159,1177314.2586580086
160,964739.7183158878
161,2329138.492063492
162,921696.5119666813
163,964739.7183158878
164,1341058.6037991024
165,1123065.556153712
166,961234.8382078161
167,964739.7183158878
168,621837.7011772457
169,1294749.7887864825
170,964739.7183158878
171,1392128.3126293994
172,1423439.1862630832
173,1340442.3266388783
